id,name
82de9222-4078-5af2-bfb0-b1c8b0615d83,attack.t1498
90dba2eb-45bd-50b1-a569-85b17740ca6e,cve.2021-35211
2666f3d9-b1b1-5397-bd5e-047d8784511b,cve.2021-21978
cd5bcb0f-3df9-5de0-993f-d94e3c81da8e,attack.t1569
651e3ad3-1e3a-5f90-a2a4-cba55565d4ad,cve.2021-1675
c61753ba-a35c-5447-ac8a-7c4b2c183828,cve.2021-34527
1f863233-c3ca-5b12-a8cf-04e28c335415,cve.2021-20090
2f1fd09f-e2a5-5648-93e1-c05a675776fd,cve.2021-20091
20570c14-5bd8-527b-b7e0-c46551ff9da2,cve.2021-22123
eb82c70f-a19e-51d6-9143-973d2b0a0b1d,cve.2021-42237
da1babae-ec9d-5bf8-abb5-c731068844c0,cve.2021-44077
0a8771e1-3b31-5cb7-9e07-83627ede1a22,attack.t1098
6bbd4cbf-0ff4-5cad-8097-34e28b5d29d2,cve.2021-42287
192de69f-0cbc-521d-9ec6-66d9ae21626b,cve.2021-22005
fe2d3ea1-972e-561a-a74d-f4fa742356bc,cve.2021-41773
1a53b47a-1edd-5e9e-ab5f-6cda2ebe9d79,cve.2021-2109
ca8b3816-04b4-585e-a814-c9de8fa2a980,cve.2021-26857
67c7dfb5-4ea5-5ac2-a299-8c740c85eb3e,cve.2021-26084
f2f684b6-2bf0-5fae-a806-2010ef65b820,cve.2021-44228
ff3b44ff-1167-5842-8938-e10abbd8e05f,cve.2021-33771
74f1ea40-0f01-551f-9942-2993def45926,cve.2021-31979
2ad255cf-26e6-5587-a7b3-dc683b13e3f7,cve.2021-41379
0529fbe7-ef51-5053-8152-76ce4f2e5fcb,cve.2021-40539
c6ab949b-b91f-5bad-9c74-3ea499232bc0,cve.2021-33766
845e123a-c57a-57b1-96fd-db6ce6e1aad1,cve.2021-21972
062a2aeb-4d78-50a3-a519-e372b25aa972,cve.2021-27905
41a598e5-3bba-5743-9a7e-2632941039e0,attack.t1558.003
bc2b6a1a-421e-521e-9b9e-504f1efcfc75,cve.2021-42278
e08f22be-9b62-526b-b18c-f26e85284f53,cve.2021-28480
7fe116a6-b045-5a1f-906c-dcaccb820229,cve.2021-26858
c3b9bcb3-b9e5-5517-9e81-aba26a62b06e,cve.2021-43798
ec892d13-65c0-5dd0-a7f3-a4973c41a7d7,cve.2021-40444
1106bec4-ec54-5a8a-83d8-781ac40930a3,cve.2021-26814
371215c6-4085-58e3-8619-485329e60bd7,cve.2021-22893
384d3a37-c13d-51f3-8e82-c67e37ff3f8e,attack.t1562.002
0b38ccfd-f576-50da-b06c-ed22d8fd1a2a,attack.t1553.003
e2ea7f26-25fe-5a16-8299-62d89c58176a,cve.2024-1709
54944ca2-6c5d-5cbe-b329-8d331599268b,cve.2024-37085
a7d5b3cb-034b-5041-add5-9ed42bd49055,cve.2024-1708
4c7a4105-d14d-5e59-9f37-ef35365e629f,cve.2024-50623
cb20270d-374d-57b9-930b-cbe4dd3efd55,cve.2024-1212
985b941c-d738-55e9-a428-18f293403b90,attack.t1499
ea3266b2-bb08-55ed-88f5-62e66a4d54cf,cve.2024-49113
4471ebe5-4c4c-5970-b07b-72dec024e470,cve.2024-3094
3088ccdc-c195-5553-a66a-a4c5fd5a18e8,cve.2024-3400
403aafda-8bd2-57e4-a4c9-8bff59baae44,cve.2024-35250
f5778cbe-0025-5dc8-938f-d0ffa1cbabad,cve.2015-1641
c7e618f3-8255-5801-8a8f-293000f1e714,cve.2010-5278
61779bd7-89a9-5570-b6ef-2be7c3faf3ec,attack.g0027
122cc0eb-6d3e-5725-87a9-31fdd7e554e3,attack.g0049
8a4c0d3d-0cfa-56da-b471-27077788024c,attack.g0007
d345c7aa-9d78-5563-8ded-a54155d51bd5,car.2013-10-002
fdcd0c0e-19cc-5169-bf2f-7a61f1f58559,attack.g0030
c0dd07b4-d1da-5522-9ada-ca978603a421,attack.g0050
351f365c-d533-5f63-b465-0b879061739c,attack.s0081
093e2673-d16e-5995-bc05-24eaeb2d694e,cve.2018-2894
b9928037-2eb1-5451-8c39-d044c7189107,cve.2018-13379
71eb7d93-3d04-571e-b3b4-d34bccb01837,attack.s0412
b61af3ae-4cb4-5da0-ab17-2a6784f22377,attack.g0001
215ceed9-faa2-5e8b-9a89-1a491c1b6b81,cve.2014-6287
d3d53a4b-b199-5c86-a470-0cf25de958b2,attack.t1071
f343ee24-e4a9-5d1d-a953-40935dea9a9b,attack.t1212
bd7452e1-8389-5158-bc59-d172bbef7d91,attack.g0093
864c6ff3-6759-5a8d-b952-ba8a2273462f,attack.g0044
7827a615-a9a6-58e6-9a1f-844ea68d79d4,attack.t1559
1f2a5b21-b827-5a45-beef-af99a6284a3d,attack.g0004
486b50d4-55be-5c6b-abe2-dc6791edd184,attack.t1562.001
ecf3e9f0-6293-50b8-80f7-4d95ebe16a22,cve.2020-1350
036b950f-fbfc-5722-b4d2-0bb00f8c3325,cve.2020-10148
a7bb55fb-52bf-56e9-bf11-fcc7c9299bab,cve.2020-1048
d1ad7180-abc6-5593-8f7a-a83d0dbb42be,cve.2020-1472
d6d7531f-4da4-540e-9892-5b01188b2661,cve.2020-8193
8ec1e860-4308-523f-9172-28be8fd02192,cve.2020-8195
cdbbac82-024b-5d1f-9103-97a0a2facf42,cve.2020-5902
16e2188a-ce7b-5c34-b697-0bfab004b5d6,cve.2020-28188
6936fe62-483d-5d42-a878-443f05a671d4,cve.2020-14882
a70014b2-0056-56c1-a815-04a1061dfe0b,cve.2020-0688
5cf32fcc-8d92-5085-8137-785ab639917b,cve.2020-3452
be498385-9c2d-5331-bb3a-59c1a0971f28,attack.s0190
21852381-0960-5198-a004-f3996c999901,cve.2020-10189
cab83418-6720-51a7-b7a9-e03490fb0153,attack.t1195.001
f9421fdc-eeba-5ef7-98cd-3f33d3dec640,attack.t1098.001
3ff8698d-2695-57b1-a832-08ec7961d7b1,attack.t1098.003
330732a9-16a6-5068-a2c8-ec5263c8862e,attack.t1213.003
c5743395-8557-5e59-b078-8ddc21a7672e,attack.t1078.004
094a4f73-ba5b-5fcd-b893-d26f00edde97,attack.t1556
987465a1-2c9e-59d1-a8a8-397a28783841,attack.t1136.003
d755576b-b0c9-5c2f-8a5e-6198ce06d73e,attack.t1526
bc7a465d-7e13-55ec-9aec-b8b34b7b774d,attack.t1537
c253e90a-2bc3-554d-83fe-eb59fe446794,attack.t1562.006
ac57ea0e-5008-58fe-ab69-0548905892d8,attack.t1531
460fd581-30a4-56c9-8caf-af311a1ecdc0,attack.t1586.003
a600926f-b0cd-5672-a29e-ad2c0f4fd110,attack.t1556.006
7a1e88a0-9afb-5005-92b0-28c10734f8a0,attack.reconnaissance
ade4cc0c-27ea-5974-beb1-680be4f07c94,attack.t1213
98478f5b-43dc-5458-95f6-8d192e4593af,attack.t1591.004
5182ddab-fb0d-5d5e-a987-34cc6dc2a34e,attack.t1021.004
b44d50c4-c7fc-59ef-be87-9e9cf2099321,attack.t1110
8f1dc932-8a5e-51bc-a119-859f2d5a0703,attack.t1586
f8a009cf-ebdb-5d2c-ba4a-d6051c944329,attack.t1074
2aefd8cd-b282-59e6-b1c7-2cf96070e854,attack.t1548
27ac32ca-95ce-57b4-aa25-6edcb4b7fae4,attack.t1078
330e3595-58a3-5aad-a552-f9c2d242b14c,attack.t1552.007
8acb1ea7-dee1-538e-b47f-cb07d72c4a5b,attack.t1565
8e6a0ae1-94f4-52a5-b9d7-a503038dfa74,attack.t1199
4bb2047a-46f1-5ffc-9735-97414399da06,attack.t1114
b1880360-d82a-5bd9-af8c-9ac4ae6de3ad,attack.t1484.002
f5be9781-e807-5818-81cf-b5f223257e66,attack.t1136
faac04ec-85b4-50b9-8ce4-cbd7a6b6b0b1,attack.t1021.007
e86f9b49-9a20-52c9-bc78-ea4b2a9f29c5,attack.t1550.001
4bbb3638-d226-5257-964d-375e7ff3b63d,attack.t1059.009
14449190-dffb-5204-8124-a5c5fc8f401e,attack.t1566.002
368cada0-a37f-50a4-8646-43f51cdcaae8,attack.t1562.007
b3e72419-192a-595d-a14c-f6c0107d3805,attack.t1078.002
22b6d916-d219-5896-ae2b-ece6022d39bc,attack.t1525
f28e1c3f-9560-52ab-9b0c-e95987d38629,attack.t1580
1c0c627c-daca-5a83-b257-6a391b34e20a,attack.t1619
e8d55e8b-387b-54af-87a9-e52e94265ec7,attack.t1059.004
f6b63c5b-79dc-51e7-a276-858e541a3159,attack.t1550
1582f92d-7836-5a6f-bc57-bb050cc11762,attack.t1562.008
3285c442-769a-5b1a-a86c-28aee7f1bb2e,attack.t1070
a1da3593-85ee-5499-ad55-e0525029e8fe,attack.t1528
a2b4b94e-7ac4-5bd6-9fa3-c7ce1cb1d2cc,attack.t1484
2b1d21e2-046f-50c3-b212-c9867a1db780,attack.t1098.005
43909002-a2e7-564a-8cd2-75f135d13877,attack.t1496
71306a20-ea72-5ab0-baa5-1593aa331487,attack.t1565.001
12e27806-4c75-5192-95dd-3804357a37ea,attack.t1053.003
1a2e70d7-6cf7-5db3-8441-21c2323cc32d,attack.t1578
e92c731c-185d-5e40-b069-b8b6f0a93692,attack.t1578.003
debd9042-edfc-590b-9115-f5bea3e5c4af,attack.t1114.003
d07d429e-58c8-5c99-89ce-47f274c2d234,attack.t1606
244b9382-5fe0-58fa-a898-c31fcc510ec3,attack.t1589
e50d511c-8de5-5441-ba8a-9e13ccf84cf9,attack.t1087.004
412f9f12-7553-5d50-8710-00bbef16632a,attack.t1621
7c46f8e0-2ac6-5080-916c-1e32780b1a8f,attack.t1204.001
8b6dd294-f6d9-559f-adfc-42f810d70e58,attack.t1070.003
5d2f63b2-ff1b-5e50-8230-5ae4aa40e5fc,attack.t1574.006
45403a82-e971-5593-8775-e85e2f4f69df,attack.t1059.012
0b32efae-430c-5e92-9156-8728abe99416,attack.t1014
bbf8894b-3757-5442-b88c-c1a09789cd4f,attack.t1592.004
9547f779-7fea-5adc-a553-b3f83b4365f9,attack.t1070.002
b9e0da4b-1374-53c9-86c3-c570f9aad96d,attack.t1553.004
c68cb949-fe44-5626-92ff-6e3cbd6e296f,attack.t1564
d544f6b9-0206-511c-91dc-3a41ced0d9e3,attack.t1046
7a3e60cc-342c-5f47-9264-907f3cde2357,attack.t1593.003
0df70831-d9b2-5b11-b2bd-ff5707c11dbd,attack.t1222.002
384ad589-d847-5216-be2f-122c6307b4fa,attack.t1529
fd12cf52-acee-57c6-af37-b5c29a156979,attack.t1053.002
223d6f7e-f32a-50bf-b030-575e11550298,attack.t1548.001
78d96b5b-dcf3-5fa8-8fd1-77313a9c2aeb,attack.t1055.009
282052a3-d402-5e60-b783-7d799afa6b02,attack.t1562.003
d7745e63-853c-53fa-b0a3-cbc65df527b8,attack.t1133
522b503d-2e81-5050-81ee-c04ba0036692,attack.t1070.006
a2173a8f-e7ad-5800-9f26-d17cca7ff8cb,cve.2022-26134
728289b2-6a0d-5b86-8bb7-62b8ac81eced,attack.t1548.003
5f143786-3ba1-5738-99c6-2d461d8a85d8,cve.2019-14287
b31ed357-a74a-5da2-abb0-43acbcf01e0e,attack.t1027.003
ad9c1c01-da48-5c39-9132-384056364d24,attack.t1027.001
87054fa0-efb0-5f22-b765-554343ccc7e1,attack.t1030
e438433e-9b07-58b4-96e5-8f2729fddce5,attack.t1040
376e1cd9-5434-5d9a-bf2c-964a43b65863,attack.t1543.002
ebc3ff8b-85c9-5db4-bf13-4a41dbd5af2d,attack.t1552.003
73e158e2-bcb1-5694-9380-e24c6c0572e1,attack.t1056.001
94fd9000-4f3f-564f-9294-04b986549c12,attack.t1123
2ef2d9e5-a673-5474-a4b5-c035201bf406,attack.t1547.006
762d31f4-bc5f-5678-b312-d7282da1653e,attack.t1546.004
7d3e9e99-e43f-523e-8cfb-96f41da58837,attack.t1571
323d1f09-d554-508a-8692-3d672f0af76e,attack.t1568.002
ce18229f-d160-54a7-991d-d835eb733908,attack.t1102
6e14c141-371b-5224-9c54-373a61cfea14,attack.s0508
2937aa16-0928-5d8b-8f3b-1ab626a5fddf,attack.t1588.001
9196485e-b311-56bd-81c6-4188c94d657d,attack.t1595.002
3e055c26-d5a5-50f8-8fbe-9088ba8cec3e,attack.t1003.002
31240a23-5df4-5268-8409-d6c88ddd06ef,attack.t1547.004
abc03315-782b-5fd9-9578-3c7686354a46,cve.2021-1678
b31d843f-9d92-5a28-a8ba-6f28959a1ba6,attack.t1557.001
37724ced-1ea3-5227-a873-298b925f293b,attack.t1187
d7e80646-2026-57cb-a037-b97f6d069d53,attack.t1003.004
28a4d9c6-6f59-54b1-9784-b9d3cb4ba1fa,car.2013-05-004
f4c4e95e-1045-5f0a-a2f6-7044c647b43b,car.2015-04-001
8cd4150f-e9fa-5dd8-904a-3fdab8009243,attack.t1021.006
fd40064b-d93e-5869-a230-756e515acee8,attack.s0154
3cad0e89-4fa8-5106-96de-08c79ad140d2,attack.t1095
70444477-1410-5cc2-8e34-c51c8b31d471,attack.t1048
de01569e-e160-5be2-82d4-9a889179fe81,attack.t1557
7576ec24-6c83-5cc4-ae13-8186e27b0b00,attack.t1552.004
ba637ce6-3e16-53a4-9062-7e6d80a8528f,attack.t1495
94ae667f-989a-5362-b56b-ff35c453ec2b,attack.t1505
ef97eefe-7b03-5bb8-907c-d1d26e0671d3,attack.t1565.002
ac4ad5be-4deb-5f07-bb2a-5e8e628ee9a8,attack.t1561.001
187b0fe2-1374-5fbb-accc-2f756f01519f,attack.t1561.002
